	 INDICES

Ordre des indices bruts et normalisés : 
	centralité de degré /centralité de vecteur propre / centralité de proximité / centralité intermediarité

sommet 0 : 1   0.125	0.123053   0.0153817			0.0232558   0.186047		0   0
sommet 1 : 3   0.375	0.351581   0.0439477			0.0238095   0.190476		0   0
sommet 2 : 2   0.25	0.281265   0.0351581			0.025   0.2		0   0
sommet 3 : 4   0.5	0.509793   0.0637241			0.0243902   0.195122		0   0
sommet 4 : 3   0.375	0.404318   0.0505398			0.0151515   0.121212		0   0
sommet 5 : 2   0.25	0.281265   0.0351581			0.00952381   0.0761905		0   0
sommet 6 : 3   0.375	0.386739   0.0483424			0.0181818   0.145455		0   0
sommet 7 : 2   0.25	0.263686   0.0329607			0.012987   0.103896		0   0
sommet 8 : 2   0.25	0.246107   0.0307634			0.012987   0.103896		0   0

